ATC;NT;NAZEV;NAZEV_EN
A;N;TRÁVICÍ TRAKT A METABOLISMUS;ALIMENTARY TRACT AND METABOLISM
A01;N;STOMATOLOGICKÉ PŘÍPRAVKY;STOMATOLOGICAL PREPARATIONS
A01A;N;STOMATOLOGICKÉ PŘÍPRAVKY;STOMATOLOGICAL PREPARATIONS
A01AA;N;Látky k prevenci zubního kazu;Caries prophylactic agents
A01AA01;N;fluorid sodný;sodium fluoride
A01AA02;N;monofluorofosforečnan sodný;sodium monofluorophosphate
A01AA03;N;olaflur;olaflur
A01AA04;N;fluorid cínatý;stannous fluoride
A01AA30;N;látky k prevenci zubního kazu, kombinace;combinations
A01AA51;N;fluorid sodný, kombinace;sodium fluoride, combinations
A01AB;N;Antiinfektiva a antiseptika pro lokální léčbu v dutině ústní;Antiinfectives and antiseptics for local oral treatment
A01AB02;N;peroxid vodíku;hydrogen peroxide
A01AB03;N;chlorhexidin;chlorhexidine
A01AB04;N;amfotericin B;amphotericin B
A01AB05;N;polynoxylin;polynoxylin
A01AB06;N;domifen;domiphen
A01AB07;N;oxychinolin;oxyquinoline
A01AB08;N;neomycin;neomycin
A01AB09;N;mikonazol;miconazole
A01AB10;N;natamycin;natamycin
A01AB11;N;různá jiná antiinfektiva a antiseptika;various
A01AB12;N;hexetidin;hexetidine
A01AB13;N;tetracyklin;tetracycline
A01AB14;N;benzoxonium-chlorid;benzoxonium chloride
A01AB15;N;tibezonium-jodid;tibezonium iodide
A01AB16;N;mepartricin;mepartricin
A01AB17;N;metronidazol;metronidazole
A01AB18;N;klotrimazol;clotrimazole
A01AB19;N;peroxoboritan sodný;sodium perborate
A01AB21;N;chlortetracyklin;chlortetracycline
A01AB22;N;doxycyklin;doxycycline
A01AB23;N;minocyklin;minocycline
A01AB24;N;oktenidin;octenidine
A01AB25;N;oxytetracyklin;oxytetracycline
A01AB53;N;chlorhexidin a cetylpyridinium;chlorhexidine and cetylpyridinium
A01AC;N;Kortikosteroidy pro lokální léčbu v dutině ústní;Corticosteroids for local oral treatment
A01AC01;N;triamcinolon;triamcinolone
A01AC02;N;dexamethason;dexamethasone
A01AC03;N;hydrokortison;hydrocortisone
A01AC04;N;prednisolon;prednisolone
A01AC54;N;prednisolon, kombinace;prednisolone, combinations
A01AD;N;Jiná léčiva pro lokální léčbu v dutině ústní;Other agents for local oral treatment
A01AD01;N;epinefrin;epinephrine
A01AD02;N;benzydamin;benzydamine
A01AD05;N;kyselina acetylsalicylová;acetylsalicylic acid
A01AD06;N;adrenalon;adrenalone
A01AD07;N;amlexanox;amlexanox
A01AD08;N;bekaplermin;becaplermin
A01AD11;N;různá jiná léčiva pro lokální léčbu v dutině ústní;various
